93294 196880
72993 72994 20
359 72993 18
72992 359 30
360 72992 31
72991 360 21
72990 72991 65
361 72990 50
72989 361 10
72988 72989 9
72987 72988 10
362 72987 11
363 362 33
72986 363 24
364 72986 10
271 353 19
353 17151 106
17151 354 45
354 355 211
353 271 19
17151 353 106
354 17151 45
355 354 211
18175 58005 5
58005 58009 9
58009 18176 4
18176 58006 4
58006 24022 6
58005 18175 5
58009 58005 9
18176 58009 4
58006 18176 4
24022 58006 6
384 26313 26
26313 26315 10
26315 385 10
385 62796 6
62796 386 7
386 62795 7
62795 387 5
26313 384 26
26315 26313 10
385 26315 10
62796 385 6
386 62796 7
62795 386 7
387 62795 5
388 62793 5
62793 62794 7
62794 26314 8
26314 389 14
389 390 45
62793 388 5
62794 62793 7
26314 62794 8
389 26314 14
390 389 45
387 388 36
388 387 36
331 396 8
396 331 8
393 392 50
392 393 50
398 87294 24
87294 87290 14
87290 206 5
76118 37155 105
37155 37158 30
37158 37156 31
37156 438 27
438 25540 11
25540 422 11
422 56873 62
439 25537 6
25537 25539 19
25539 438 10
438 56872 23
56872 56871 9
56871 422 14
422 25538 10
25538 25536 18
25536 440 6
70881 417 14
417 404 29
404 85059 8
85059 85058 7
85058 405 6
405 406 7
406 407 8
407 408 11
408 409 10
409 410 6
410 411 7
411 85060 7
85060 412 6
412 85061 6
85061 413 5
413 416 29
416 414 22
417 70881 14
404 417 29
85059 404 8
85058 85059 7
405 85058 6
406 405 7
407 406 8
408 407 11
409 408 10
410 409 6
411 410 7
85060 411 7
412 85060 6
85061 412 6
413 85061 5
416 413 29
414 416 22
417 85055 20
85055 85063 26
85063 416 18
85055 417 20
85063 85055 26
416 85063 18
25768 404 17
404 25768 17
447 41200 34
41200 448 33
41200 447 34
448 41200 33
246 247 48
247 248 77
247 246 48
248 247 77
453 454 8
454 455 7
455 456 24
454 453 8
455 454 7
456 455 24
449 450 17
450 36918 5
36918 36919 9
36919 451 4
451 55336 5
55336 452 1
452 457 6
450 449 17
36918 450 5
36919 36918 9
451 36919 4
55336 451 5
452 55336 1
457 452 6
457 453 72
453 457 72
458 459 6
459 460 9
460 461 73
459 458 6
460 459 9
461 460 73
443 87813 3
87813 444 15
87813 443 3
444 87813 15
4599 23205 20
23205 462 113
462 25567 16
25567 29123 56
29123 27119 118
27119 90022 38
464 57763 6
57763 25569 8
25569 43746 10
43746 465 10
465 466 4
543 18837 133
18837 654 6
654 550 24
550 544 25
544 545 31
545 18838 36
18838 546 36
18837 543 133
654 18837 6
550 654 24
544 550 25
545 544 31
18838 545 36
546 18838 36
25517 64396 123
64396 64406 12
64406 25519 7
25519 64388 7
64388 64395 11
64395 64407 15
64407 25521 28
25521 64390 60
64390 64432 91
64432 573 18
573 57780 198
57780 574 13
590 35816 9
35816 591 40
591 85986 21
85986 35817 7
35817 35815 12
35816 590 9
591 35816 40
85986 591 21
35817 85986 7
35815 35817 12
491 41415 25
41415 491 25
481 70877 57
70877 84033 28
84033 34145 33
70877 481 57
84033 70877 28
34145 84033 33
25530 54951 51
54951 25529 20
436 78149 5
78149 78148 3
78148 78147 2
78147 29166 2
29166 29165 3
29165 78146 3
78146 29164 3
29164 78145 12
78145 656 17
656 18904 92
18904 25535 27
26417 665 5
667 70050 7
70050 22188 44
22188 668 9
668 619 30
619 57790 6
57790 64423 7
64423 25565 8
25565 618 11
618 57789 27
57789 669 6
670 90245 11
90245 90246 19
90246 90247 19
90247 470 11
90245 670 11
90246 90245 19
90247 90246 19
470 90247 11
240 32243 9
32243 16463 51
16463 57827 6
57827 48816 3
48816 15987 3
15987 48827 9
48827 57826 9
555 55081 6
55081 5199 6
5199 29213 14
29213 519 15
659 55082 5
55082 29210 5
29210 29211 14
29211 555 13
4101 26077 5
26077 26078 10
26078 673 5
673 26079 7
26079 675 16
675 10 11
10 68583 30
68583 674 89
674 15955 15
26077 4101 5
26078 26077 10
673 26078 5
26079 673 7
675 26079 16
10 675 11
68583 10 30
674 68583 89
15955 674 15
57785 57782 2
57782 22185 7
22185 22184 14
22184 619 11
619 57788 5
57788 57787 12
57787 22183 10
22183 57786 5
57786 618 15
618 57784 5
57784 22187 6
22187 22186 16
22186 57778 8
83089 43459 11
43459 43460 22
43460 676 28
676 43428 24
43428 43419 116
43419 677 34
677 678 25
678 39800 24
39800 679 21
679 43420 18
43420 680 68
680 43421 7
43421 43430 20
43430 681 20
681 682 25
682 43429 67
43429 683 11
683 684 16
684 685 56
43459 83089 11
43460 43459 22
676 43460 28
43428 676 24
43419 43428 116
677 43419 34
678 677 25
39800 678 24
679 39800 21
43420 679 18
680 43420 68
43421 680 7
43430 43421 20
681 43430 20
682 681 25
43429 682 67
683 43429 11
684 683 16
685 684 56
10062 37357 55
37357 10062 55
37264 1581 10
1581 1582 21
1582 1583 33
1583 1584 28
1584 1585 93
1585 1586 39
1586 17028 37
17028 1587 12
1587 1588 7
1588 1589 78
1589 37277 32
37277 44382 14
1581 37264 10
1582 1581 21
1583 1582 33
1584 1583 28
1585 1584 93
1586 1585 39
17028 1586 37
1587 17028 12
1588 1587 7
1589 1588 78
37277 1589 32
44382 37277 14
697 64031 10
64031 19478 39
19478 17847 74
17847 19489 35
19489 19484 28
19484 19491 15
19491 18552 33
18552 18551 7
18551 696 62
64031 697 10
19478 64031 39
17847 19478 74
19489 17847 35
19484 19489 28
19491 19484 15
18552 19491 33
18551 18552 7
696 18551 62
397 49354 11
49354 707 21
49354 397 11
707 49354 21
16296 60143 2
60143 60413 10
60413 371 13
371 33545 16
33545 84283 13
84283 84282 12
84282 375 13
375 28579 21
60143 16296 2
60413 60143 10
371 60413 13
33545 371 16
84283 33545 13
84282 84283 12
375 84282 13
28579 375 21
724 66160 11
66160 725 9
725 66153 22
66153 46956 14
46956 46957 32
46957 38946 80
38946 25542 9
25542 719 9
719 720 53
720 38732 26
38732 25543 5
25543 38733 5
38733 38735 5
38735 38736 5
38736 38737 5
38737 38734 5
38734 25545 51
25545 38924 22
38924 26370 52
565 26615 6
26615 92380 22
92380 26332 18
26332 26333 33
26333 736 12
26615 565 6
92380 26615 22
26332 92380 18
26333 26332 33
736 26333 12
658 55083 6
55083 5236 8
5236 25515 12
25515 29209 10
519 55084 6
55084 29207 7
29207 29208 15
29208 92362 10
92362 658 3
16305 36602 40
36602 741 50
741 11452 28
11452 11420 29
11420 11412 56
11412 74255 5
74255 742 4
742 743 35
36602 16305 40
741 36602 50
11452 741 28
11420 11452 29
11412 11420 56
74255 11412 5
742 74255 4
743 742 35
38106 22400 49
22400 43188 56
43188 759 7
759 43191 38
43191 75335 15
75335 15946 50
15946 15258 37
15258 762 27
762 43174 62
43174 43175 5
43175 75325 45
75325 15352 38
15352 745 98
22400 38106 49
43188 22400 56
759 43188 7
43191 759 38
75335 43191 15
15946 75335 50
15258 15946 37
762 15258 27
43174 762 62
43175 43174 5
75325 43175 45
15352 75325 38
745 15352 98
765 766 17
766 767 75
767 768 30
766 765 17
767 766 75
768 767 30
771 31780 17
31780 771 17
31780 54604 174
54604 31780 174
775 776 65
776 775 65
776 777 48
777 776 48
791 792 65
79215 79385 41
79385 22408 17
22408 71884 20
71884 789 42
789 35336 38
35336 59630 58
59630 790 6
790 791 52
780 794 15
794 795 22
795 744 31
794 780 15
795 794 22
744 795 31
19935 38227 5
38227 13167 6
13167 79464 6
79464 49244 4
49244 79465 8
79465 13150 6
13150 800 13
785 19565 57
19565 19566 97
19566 73662 109
73662 15016 52
15016 50526 28
50526 14929 42
14929 14916 11
14916 69310 6
69310 19567 6
19567 50523 8
50523 50520 12
50520 19568 19
19568 19569 72
19569 69323 56
69323 19570 56
19570 19571 136
19571 19930 67
19930 67630 6
67630 19572 5
19572 50481 8
50481 46427 10
46427 27498 42
46429 1175 115
1175 1164 88
1164 50517 201
50517 1176 6
1176 50516 26
50516 1177 3
1177 645 390
645 69316 3
69316 15949 9
15949 50492 8
50492 786 9
786 1086 2
809 26330 27
26330 809 27
2021 21198 17
21198 2021 17
35484 850 22
850 21757 27
21757 851 28
850 35484 22
21757 850 27
851 21757 28
848 861 30
861 53803 26
53803 862 29
862 53806 24
53806 863 7
863 88859 10
88859 864 32
864 865 19
865 88862 11
88862 88863 11
88863 866 22
866 867 7
867 868 9
868 53815 6
53815 860 4
861 848 30
53803 861 26
862 53803 29
53806 862 24
863 53806 7
88859 863 10
864 88859 32
865 864 19
88862 865 11
88863 88862 11
866 88863 22
867 866 7
868 867 9
53815 868 6
860 53815 4
869 872 14
872 871 118
871 91997 21
91997 870 8
872 869 14
871 872 118
91997 871 21
870 91997 8
19043 19045 13
19045 847 176
847 35442 61
19045 19043 13
847 19045 176
35442 847 61
881 22126 12
22126 22127 16
22127 29627 11
29627 565 5
22126 881 12
22127 22126 16
29627 22127 11
565 29627 5
881 26320 5
26320 63377 28
63377 78969 11
78969 26614 13
26614 882 41
26320 881 5
63377 26320 28
78969 63377 11
26614 78969 13
882 26614 41
20284 61465 5
61465 32035 37
32035 23161 10
23161 20285 9
20285 20286 4
20286 20287 12
20287 20288 12
20288 20289 19
20289 20347 10
20347 61470 12
61470 20334 45
20334 32652 72
32652 41115 45
41115 70445 19
70445 29408 22
29408 22147 29
920 57686 7
57686 57685 10
57685 57687 9
57687 927 22
927 39267 13
39267 928 8
928 57682 15
57682 39220 7
39220 929 6
929 29845 22
29845 29843 22
29843 29844 28
29844 930 20
930 35903 161
35903 81913 39
81913 81910 25
81910 926 104
926 35901 10
35901 35900 77
35900 880 17
57686 920 7
57685 57686 10
57687 57685 9
927 57687 22
39267 927 13
928 39267 8
57682 928 15
39220 57682 7
929 39220 6
29845 929 22
29843 29845 22
29844 29843 28
930 29844 20
35903 930 161
81913 35903 39
81910 81913 25
926 81910 104
35901 926 10
35900 35901 77
880 35900 17
882 22221 8
22221 882 8
935 24003 6
24003 90876 3
90876 90922 3
90922 90877 3
90877 90923 3
90923 936 4
936 90875 3
90875 90893 2
90893 90874 2
90874 937 2
937 90873 3
90873 24005 4
24005 938 5
938 90892 6
90892 939 4
24003 935 6
90876 24003 3
90922 90876 3
90877 90922 3
90923 90877 3
936 90923 4
90875 936 3
90893 90875 2
90874 90893 2
937 90874 2
90873 937 3
24005 90873 4
938 24005 5
90892 938 6
939 90892 4
21108 594 21
594 49855 57
49855 25403 28
25403 595 7
764 763 33
763 764 33
974 975 5
975 976 9
976 977 6
977 978 11
978 981 9
981 36505 20
36505 979 5
979 980 16
980 968 6
975 974 5
976 975 9
977 976 6
978 977 11
981 978 9
36505 981 20
979 36505 5
980 979 16
968 980 6
974 982 38
982 983 14
983 984 49
984 985 11
982 974 38
983 982 14
984 983 49
985 984 11
972 982 19
982 972 19
986 987 17
987 988 46
988 989 5
987 986 17
988 987 46
989 988 5
982 987 44
987 992 15
992 991 9
991 990 22
990 993 14
987 982 44
992 987 15
991 992 9
990 991 22
993 990 14
983 986 41
986 35346 9
35346 35345 9
35345 990 12
986 983 41
35346 986 9
35345 35346 9
990 35345 12
1021 1023 9
1023 1024 7
1024 1025 19
1025 1026 26
1026 1027 27
1027 1028 22
1028 48446 38
48446 1029 2
1029 1030 8
1030 1031 10
1031 1032 14
1023 1021 9
1024 1023 7
1025 1024 19
1026 1025 26
1027 1026 27
1028 1027 22
48446 1028 38
1029 48446 2
1030 1029 8
1031 1030 10
1032 1031 14
1012 1022 101
1022 1021 96
1022 1012 101
1021 1022 96
951 994 6
994 995 17
995 996 9
996 997 24
997 998 11
998 999 16
999 1000 22
1000 1001 41
1001 1002 35
1002 1003 15
1003 1004 20
1004 1005 29
1005 1006 19
1006 1007 45
1007 1008 48
1008 1009 5
1009 1010 7
1010 44579 9
44579 1011 25
1011 45696 7
994 951 6
995 994 17
996 995 9
997 996 24
998 997 11
999 998 16
1000 999 22
1001 1000 41
1002 1001 35
1003 1002 15
1004 1003 20
1005 1004 29
1006 1005 19
1007 1006 45
1008 1007 48
1009 1008 5
1010 1009 7
44579 1010 9
1011 44579 25
45696 1011 7
1019 1020 8
1020 1021 13
1020 1019 8
1021 1020 13
1036 1061 11
1061 1060 56
1060 1059 34
1059 1058 31
1058 1057 21
1057 1056 14
1056 1055 100
1055 1054 44
1054 1053 56
1053 1052 55
1052 1051 30
1051 1050 18
1050 1049 13
1049 1048 27
1048 48448 24
48448 1047 37
1047 1065 17
1065 1317 13
1317 1316 21
1316 1315 62
1315 1314 43
1314 1313 34
1061 1036 11
1060 1061 56
1059 1060 34
1058 1059 31
1057 1058 21
1056 1057 14
1055 1056 100
1054 1055 44
1053 1054 56
1052 1053 55
1051 1052 30
1050 1051 18
1049 1050 13
1048 1049 27
48448 1048 24
1047 48448 37
1065 1047 17
1317 1065 13
1316 1317 21
1315 1316 62
1314 1315 43
1313 1314 34
1047 1062 23
1062 1047 23
45755 70503 4
70503 1064 9
1064 1063 7
1063 1062 17
70503 45755 4
1064 70503 9
1063 1064 7
1062 1063 17
946 1034 21
1034 1035 38
1035 1036 33
1034 946 21
1035 1034 38
1036 1035 33
15561 1506 59
1506 1068 10
1506 15561 59
1068 1506 10
1071 1527 26
1527 1528 34
1528 1070 4
1527 1071 26
1528 1527 34
1070 1528 4
768 58999 15
58999 1072 15
1072 1073 41
1073 1074 75
1074 1075 30
1075 1076 39
1076 1077 85
1077 35341 35
35341 35342 9
35342 1078 5
1078 35338 6
35338 35339 8
35339 35337 10
35337 35340 5
35340 777 8
58999 768 15
1072 58999 15
1073 1072 41
1074 1073 75
1075 1074 30
1076 1075 39
1077 1076 85
35341 1077 35
35342 35341 9
1078 35342 5
35338 1078 6
35339 35338 8
35337 35339 10
35340 35337 5
777 35340 8
645 1079 10
1079 1080 34
1080 35333 68
35333 1081 23
1081 1084 23
1084 1082 29
69504 1088 26
1088 1087 25
1087 35331 18
35331 35332 26
35332 35334 26
35334 1085 30
1085 91531 22
91531 72498 24
72498 1086 7
1088 69504 26
1087 1088 25
35331 1087 18
35332 35331 26
35334 35332 26
1085 35334 30
91531 1085 22
72498 91531 24
1086 72498 7
1083 746 11
746 1089 21
746 1083 11
1089 746 21
1088 1090 15
1090 1088 15
1109 20012 42
20012 1117 69
20012 1109 42
1117 20012 69
1110 91698 3
91698 1119 96
1119 1118 78
91698 1110 3
1119 91698 96
1118 1119 78
1106 91709 4
91709 1129 45
1129 1128 9
1128 1127 40
1127 1118 32
1118 85724 16
85724 1120 36
1120 1121 59
1121 1122 38
1122 1123 16
1123 1124 53
1124 55896 16
55896 1125 40
1125 47465 9
47465 47466 2
47466 47467 4
47467 52253 26
52253 85753 7
91709 1106 4
1129 91709 45
1128 1129 9
1127 1128 40
1118 1127 32
85724 1118 16
1120 85724 36
1121 1120 59
1122 1121 38
1123 1122 16
1124 1123 53
55896 1124 16
1125 55896 40
47465 1125 9
47466 47465 2
47467 47466 4
52253 47467 26
85753 52253 7
1097 91708 6
91708 44432 4
44432 1130 32
1130 52229 33
52229 1131 12
1131 23092 8
23092 1132 24
1132 52219 16
52219 1133 21
1133 52220 13
52220 52218 12
52218 1134 48
1134 1137 37
1137 52217 19
52217 1135 24
1135 1136 31
91708 1097 6
44432 91708 4
1130 44432 32
52229 1130 33
1131 52229 12
23092 1131 8
1132 23092 24
52219 1132 16
1133 52219 21
52220 1133 13
52218 52220 12
1134 52218 48
1137 1134 37
52217 1137 19
1135 52217 24
1136 1135 31
1135 1144 26
1144 40488 38
1144 1135 26
40488 1144 38
1096 91706 4
91706 1146 45
1146 1147 52
1147 1148 57
1148 76981 21
76981 1149 27
1149 76980 32
76980 91740 21
91740 1150 6
1150 1151 73
1151 1152 30
91706 1096 4
1146 91706 45
1147 1146 52
1148 1147 57
76981 1148 21
1149 76981 27
76980 1149 32
91740 76980 21
1150 91740 6
1151 1150 73
1152 1151 30
1154 42104 4
42104 1154 4
1143 52213 4
52213 52208 7
52208 1166 35
1166 52209 12
52209 1167 10
1167 52297 13
52297 1168 26
1168 1169 24
1169 1170 28
1170 1171 32
1171 1173 10
52213 1143 4
52208 52213 7
1166 52208 35
52209 1166 12
1167 52209 10
52297 1167 13
1168 52297 26
1169 1168 24
1170 1169 28
1171 1170 32
1173 1171 10
1177 45393 59
45393 91716 9
91716 1178 32
1178 1181 11
45393 1177 59
91716 45393 9
1178 91716 32
1181 1178 11
1181 1180 20
1180 1179 30
1179 1152 24
1180 1181 20
1179 1180 30
1152 1179 24
1091 1182 35
1182 1183 28
1183 1184 33
1184 1181 35
1182 1091 35
1183 1182 28
1184 1183 33
1181 1184 35
49933 1189 23
1189 1198 33
1198 52302 9
52302 1190 11
1190 52301 5
52301 52300 14
52300 1191 10
1191 1182 7
1189 49933 23
1198 1189 33
52302 1198 9
1190 52302 11
52301 1190 5
52300 52301 14
1191 52300 10
1182 1191 7
1198 1192 17
1192 1193 13
1193 1194 10
1194 1195 15
1195 1196 8
1196 1197 11
1192 1198 17
1193 1192 13
1194 1193 10
1195 1194 15
1196 1195 8
1197 1196 11
760 75214 10
75214 1199 2
1199 75061 26
75061 75062 14
75062 1200 19
1200 75060 17
75060 75059 13
75059 1201 13
1201 75075 13
75075 1202 51
1202 1345 64
75214 760 10
1199 75214 2
75061 1199 26
75062 75061 14
1200 75062 19
75060 1200 17
75059 75060 13
1201 75059 13
75075 1201 13
1202 75075 51
1345 1202 64
1216 1221 41
1221 75228 8
75228 1292 5
1221 1216 41
75228 1221 8
1292 75228 5
19162 383 13
383 28859 88
28859 28861 31
28861 71225 14
71225 71226 24
71226 20166 30
20166 20516 21
20516 42520 25
42520 42518 22
42518 35926 32
35926 11725 10
10698 41629 11
41629 41630 16
41630 41628 40
41628 27629 6
1227 1228 15
1228 29412 25
29412 65258 10
65258 88116 4
88116 67466 5
67466 26093 4
26093 67463 5
67463 88109 8
88109 26115 1
41355 93118 3
